BIB Nr.;Athlete;Country;Year;Personal Best;City/Year;Distance;Gender
;;;;Time;City/Year;;
50;Nguse Amlosom;ERI;1986;2:08:23;Zurich Maratón Málaga, Málaga (ESP) / 2021;42KM;M
51;Wisley Kimeli;KEN;2000;2:08:33;Lisboa (POR) / 2024;42KM;M
52;James  Kiplagat;KEN;1991;2:09:08;Barcelona (ESP) / 2023;42KM;M
53;Melikhaya Thomas Frans;RSA;1990;2:09:24;World Athletics Championships, Oregon 2022, Autzen Complex, Eugene, OR (USA) / 2022;42KM;M
54;Cornelius Kibiwott Chepkok;KEN;1993;2:11:46;Bangkok (THA) / 2020;42KM;M
55;Gilbert Kipkoech Bii;KEN;1993;2:18:43;Graz (AUT) / 2024;42KM;M
56;Evans Kipruto;KEN;2000;2:18:52;Sofia (BUL) / 2024;42KM;M
57;Anthony Kipchirchir Koech;KEN;2001;Debut;;42KM;M
86;Renārs Roze;LAT;1986;2:19:02;Barcelona (ESP) / 2014;42KM;M
92;Kristaps Bērziņš;LAT;1992;2:28:13;Rimi Riga Marathon, Riga / 2023;42KM;M
18;Alfrēds Apinis;LAT;1999;2:28:14;Berlin (GER) / 2024;42KM;M
70;Ayantu Kumela Tadesse;ETH;1996;2:24:29;Košice Peace Marathon, Košice (SVK) / 2024;42KM;W
71;Bone Cheluke;ETH;1998;2:24:37;Košice Peace Marathon, Košice (SVK) / 2022;42KM;W
72;Jane Jelagat Seurey;KEN;1986;2:26:29;Rotterdam (NED) / 2017;42KM;W
74;Pauline Narogoi Esikon;KEN;1990;2:26:53;Berlin (GER) / 2024;42KM;W
78;Lilian Jebitok;KEN;1989;2:27:13;Hannover (GER) /2024;42KM;W
76;Rebecah Jerop Cheruto;KEN;1991;2:29:13;Münster (GER)/ 2023;42KM;W
7;Jelena Prokopčuka;LAT;1976;2:22:56;Osaka (JPN) / 2005;42KM;W
11;Anita Siliņa;LAT;1990;2:39:57;Frankfurt (BER) / 2014;42KM;W
8;Anna Kļučņika;LAT;1995;2:48:17;European Running Championships, Brussels-Leuven (BEL) / 2025;42KM;W
2;Victor Kipchirchir;KEN;1987;59:19;Padova (ITA) / 2021;21KM;M
5;Abera Mamo;ETH;2003;1:00:42;Lille (FRA) / 2025;21KM;M
6;Ezekiel Mutai;UGA;2001;1:00:43;Lille (FRA) / 2024;21KM;M
9;Titus Kiprotich Kibet;KEN;1999;1:00:48;Madrid (ESP) / 2025;21KM;M
18;Lenonard Kipngeno Bor;KEN;2003;1:02:46;Milano (ITA) / 2024;21KM;M
10;Freedom Amaniel;ITA;1996;1:02:57;Wouter Weylandtstadion, Gentbrugge (BEL) / 2025;21KM;M
12;Benard Kipchumba Kimeli;KEN;2001;Debut;;21KM;M
88;Edgars Šumskis;LAT;1988;1:06:27;Terrassa (ESP) / 2019;21KM;M
93;Kristaps Vējš-Āboliņš;LAT;1992;1:09:30;Daugavpils / 2017;21KM;M
87;Vadims Marinecs;LAT;1987;1:12:16;Kauna (LT) / 2025;21KM;M
20;Bosena Mulatie;ETH;2001;1:05:46;Ras Al Khaimah Half Marathon, Ras Al Khaimah (UAE) / 2022;21KM;W
